"","","0"
"","","0"
"Shaunté","shauntewilson10@gmail.com","1"
"Shaunté","shauntewilson10@gmail.com","0"
"Anna","anna@hotmail.com","1"
"","","0"
"","","0"
"","s@gm","3"
"","s@gm","1"
"","s@gm","0"
"","giova@h.com","0"
"","ghge@bgfnf.com","0"
"","giova@h.com","2"
"","","0"
"","","3"
"A","a@email.com","2"
"A","a@email.com","2"
"A","a@email.com","1"
"A","a@email.com","0"
"A","a@email.com","0"
"A","a@email.com","0"
"A","a@email.com","0"
"A","a@email.com","1"
"A","a@email.com","0"
"A","a@email.com","0"
"","","1"
"","","0"
"","","0"
"","","1"
"Shaunté","shauntewilson10@gmail.com","0"
"bob","shaubbntewilson10@gmail.com","2"
"bob","shaubbntewilson10@gmail.com","2"
"","","6"
"Shaunté","s@gm","2"
"Shaunté","shauntewilson10@gmail.com","1"
"Shaunté","shauntewilson10@gmail.com","0"
"Shaunté","shauntewilson10@gmail.com","1"
"Shaunté","shauntewilson10@gmail.com","0"
"joe","joe@j.com","0"
"joe","joe@j.com","1"
"","","0"
"","emily@e.com","0"
"","emily@e.com","1"
"emily","emily@e.com","1"
"emily","emily@e.com","0"
"emily","emily@e.com","0"
"emily","emily@e.com","0"
"emily","emily@e.com","1"
"emily","emily@e.com","0"
"emily","emily@e.com","0"
"emily","emily@e.com","0"
"Shaunté","shauntewilson10@gmail.com","5"
"George","prince@royal.com","13"
"Ediz","e@gmail.com","8"
"Shaunté","shauntewilson10@gmail.com","7"
"Shaunté","shauntewilson10@gmail.com","5"
"Shaunté","shauntewilson10@gmail.com","-1"
"Shaunté","shauntewilson10@gmail.com","-1"
"Shaunté","shauntewilson10@gmail.com","-1"
"Shaunté","shauntewilson10@gmail.com","-1"
"rew","re@grertge","-1"
"rew","re@grertge","-1"
"rew","re@grertge","-1"
"rew","re@grertge","-1"
"rew","re@grertge","-1"
"Shaunté","shauntewilson10@gmail.com","8"
"emily","emily@e.com","0"
"emily","emily@e.com","0"
"e","emily@e.com","0"
"e","emily@e.com","0"
"emily","emily@e.com","0"
"emily","emily@e.com","0"
"Shaunté","shauntewilson10@gmail.com","0"
"emily","emily@e.com","0"
"emily","emily@e.com","0"
"e","emily@e.com","0"
"emily","emily@e.com","0"
"emily","emily@e.com","0"
"Hafsah","haf@sah.com","5"
"Hafsah","haf@sah.com","0"
